Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name
500002,ABB,ABB India Ltd,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods
500003,AEGISLOG,Aegis Logistics Ltd,Active,A ,1,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels"
500008,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A ,1,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500009,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Active,X ,10,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare
500012,ANDHRAPET,Andhra Petrochemicals Ltd,Active,X ,10,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals
500013,ANSALAPI,Ansal Properties & Infrastructure Ltd,Active,Z ,5,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
500014,UTIQUE,Utique Enterprises Ltd,Active,X ,10,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining
500016,ARUNAHTEL,Aruna Hotels Ltd,Active,X ,10,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
500020,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Active,A ,2,INE032A01023,Other Textile Products,Equity,Consumer Discretionary,Textiles
500023,ASIANHOTNR,Asian Hotels (North) Ltd,Active,T ,10,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
500027,ATUL,Atul Ltd,Active,A ,10,INE100A01010,Specialty Chemicals,Equity,Commodities,Chemicals
500028,ATVPR,ATV Projects India Ltd,Active,X ,10,INE447A01015,Industrial Products,Equity,Industrials,Capital Goods
500031,BAJAJELEC,Bajaj Electricals Ltd,Active,A ,2,INE193E01025,Household Appliances,Equity,Consumer Discretionary,Consumer Durables
500032,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Active,A ,1,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500033,FORCEMOT,Force Motors Ltd,Active,A ,10,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components
500034,BAJFINANCE,Bajaj Finance Ltd,Active,A ,2,INE296A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services
500038,BALRAMCHIN,Balrampur Chini Mills Ltd,Active,A ,1,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500039,BANCOINDIA,Banco Products (India) Ltd,Active,B ,2,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500040,ABREL,Aditya Birla Real Estate Ltd,Active,A ,10,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials
500041,BANARISUG,Bannari Amman Sugars Ltd,Active,B ,10,INE459A01010,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500042,BASF,BASF India Ltd,Active,A ,10,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals
500043,BATAINDIA,Bata India Ltd,Active,A ,5,INE176A01028,Footwear,Equity,Consumer Discretionary,Consumer Durables
500048,BEML,BEML Ltd,Active,A ,10,INE258A01016,Construction Vehicles,Equity,Industrials,Capital Goods
500049,BEL,Bharat Electronics Ltd,Active,A ,1,INE263A01024,Aerospace & Defense,Equity,Industrials,Capital Goods
500052,BEPL,Bhansali Engineering Polymers Ltd,Active,B ,1,INE922A01025,Specialty Chemicals,Equity,Commodities,Chemicals
500058,BIHSPONG,Bihar Sponge Iron Ltd,Active,X ,10,INE819C01011,Sponge Iron,Equity,Commodities,Metals & Mining
500059,BINANIIND,Binani Industries Ltd,Active,T ,10,INE071A01013,Holding Company,Equity,Financial Services,Financial Services
500060,BIRLACABLE,Birla Cable Ltd,Active,B ,10,INE800A01015,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication
500067,BLUESTARCO,Blue Star Ltd,Active,A ,2,INE472A01039,Household Appliances,Equity,Consumer Discretionary,Consumer Durables
500068,DISAQ,Disa India Ltd,Active,B ,10,INE131C01011,Industrial Products,Equity,Industrials,Capital Goods
500069,QUESTCAP,Quest Capital Markets Ltd,Active,X ,10,INE418C01012,Other Capital Market related Services,Equity,Financial Services,Financial Services
500074,BPL,BPL Ltd,Active,B ,10,INE110A01019,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables
500078,OAL,Oriental Aromatics Ltd,Active,B ,5,INE959C01023,Specialty Chemicals,Equity,Commodities,Chemicals
500083,CENTEXT,Century Extrusions Ltd,Active,B ,1,INE281A01026,Aluminium- Copper & Zinc Products,Equity,Industrials,Capital Goods
500084,CESC,CESC Ltd,Active,A ,1,INE486A01021,Integrated Power Utilities,Equity,Utilities,Power
500085,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Active,A ,10,INE085A01013,Fertilizers,Equity,Commodities,Chemicals
500086,EXIDEIND,Exide Industries Ltd,Active,A ,1,INE302A01020,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500087,CIPLA,Cipla Ltd,Active,A ,2,INE059A01026,Pharmaceuticals,Equity,Healthcare,Healthcare
500089,DICIND,DIC India Ltd,Active,B ,10,INE303A01010,Printing Inks,Equity,Commodities,Chemicals
500092,CRISIL,CRISIL Ltd,Active,A ,1,INE007A01025,Other Financial Services,Equity,Financial Services,Financial Services
500093,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A ,2,INE067A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods
500096,DABUR,Dabur India Ltd,Active,A ,1,INE016A01026,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2,INE495A01022,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500101,ARVIND,Arvind Ltd,Active,A ,10,INE034A01011,Garments & Apparels,Equity,Consumer Discretionary,Textiles
500103,BHEL,Bharat Heavy Electricals Ltd,Active,A ,2,INE257A01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods
500104,HINDPETRO,Hindustan Petroleum Corporation Ltd,Active,A ,10,INE094A01015,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels"
500106,IFCI,IFCI Ltd,Active,A ,10,INE039A01010,Financial Institution,Equity,Financial Services,Financial Services
500108,MTNL,Mahanagar Telephone Nigam Ltd,Active,A ,10,INE153A01019,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication
500109,MRPL,Mangalore Refinery and Petrochemicals Ltd,Active,A ,10,INE103A01014,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels"
500110,CHENNPETRO,Chennai Petroleum Corporation Ltd,Active,A ,10,INE178A01016,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels"
500112,SBIN,State Bank of India,Active,A ,1,INE062A01020,Public Sector Bank,Equity,Financial Services,Financial Services
500113,SAIL,Steel Authority of India Ltd,Active,A ,10,INE114A01011,Iron & Steel,Equity,Commodities,Metals & Mining
500114,TITAN,Titan Company Ltd,Active,A ,1,INE280A01028,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables
500116,IDBI,IDBI Bank Ltd,Active,A ,10,INE008A01015,Private Sector Bank,Equity,Financial Services,Financial Services
500117,DCW,DCW Ltd,Active,B ,2,INE500A01029,Petrochemicals,Equity,Commodities,Chemicals
500119,DHAMPURSUG,Dhampur Sugar Mills Ltd,Active,B ,10,INE041A01016,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500120,DIAMINESQ,Diamines & Chemicals Ltd,Active,B ,10,INE591D01014,Specialty Chemicals,Equity,Commodities,Chemicals
500123,ELANTAS,Elantas Beck India Ltd,Active,B ,10,INE280B01018,Specialty Chemicals,Equity,Commodities,Chemicals
500124,DRREDDY,Dr Reddys Laboratories Ltd,Active,A ,1,INE089A01031,Pharmaceuticals,Equity,Healthcare,Healthcare
500125,EIDPARRY,EID Parry India Ltd,Active,A ,1,INE126A01031,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500126,PGHL,Procter & Gamble Health Ltd,Active,A ,10,INE199A01012,Pharmaceuticals,Equity,Healthcare,Healthcare
500128,ELECTCAST,Electrosteel Castings Ltd,Active,A ,1,INE086A01029,Iron & Steel Products,Equity,Industrials,Capital Goods
500133,ESABINDIA,Esab India Ltd,Active,A ,10,INE284A01012,Other Industrial Products,Equity,Industrials,Capital Goods
500135,EPL,EPL Ltd,Active,A ,2,INE255A01020,Packaging,Equity,Industrials,Capital Goods
500136,ESTER,Ester Industries Ltd,Active,B ,5,INE778B01029,Packaging,Equity,Industrials,Capital Goods
500142,FGP,FGP Ltd,Active,X ,10,INE512A01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services
500143,PHCAP,PH Capital Ltd,Active,X ,10,INE160F01013,Investment Company,Equity,Financial Services,Financial Services
500144,FINCABLES,Finolex Cables Ltd,Active,A ,2,INE235A01022,Cables - Electricals,Equity,Industrials,Capital Goods
500147,COCKERILL,John Cockerill India Ltd,Active,B ,10,INE515A01019,Industrial Products,Equity,Industrials,Capital Goods
500148,UFLEX,Uflex Ltd,Active,B ,10,INE516A01017,Packaging,Equity,Industrials,Capital Goods
500150,FOSECOIND,Foseco India Ltd,Active,B ,10,INE519A01011,Specialty Chemicals,Equity,Commodities,Chemicals
500151,GOLDENTOBC,Golden Tobacco Ltd,Active,Z ,10,INE973A01010,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
500153,GANESHBE,Ganesh Benzoplast Ltd,Active,B ,1,INE388A01029,Oil Storage & Transportation,Equity,Energy,"Oil, Gas & Consumable Fuels"
500159,METROGLOBL,Metroglobal Ltd,Active,X ,10,INE085D01033,Trading & Distributors,Equity,Services,Services
500160,GTL,GTL Ltd,Active,B ,10,INE043A01012,Other Telecom Services,Equity,Telecommunication,Telecommunication
500163,GODFRYPHLP,Godfrey Phillips India Ltd,Active,A ,2,INE260B01028,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500164,GODREJIND,Godrej Industries Ltd,Active,A ,1,INE233A01035,Diversified,Equity,Diversified,Diversified
500165,KANSAINER,Kansai Nerolac Paints Ltd,Active,A ,1,INE531A01024,Paints,Equity,Consumer Discretionary,Consumer Durables
500166,GOODRICKE,Goodricke Group Ltd,Active,X ,10,INE300A01016,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500168,GOODYEAR,Goodyear India Ltd,Active,B ,10,INE533A01012,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components
500170,GTNINDS,GTN Industries Ltd,Active,X ,10,INE537A01013,Other Textile Products,Equity,Consumer Discretionary,Textiles
500171,GHCL,GHCL Ltd,Active,A ,10,INE539A01019,Commodity Chemicals,Equity,Commodities,Chemicals
500173,GFLLIMITED,GFL Ltd,Active,B ,1,INE538A01037,Holding Company,Equity,Financial Services,Financial Services
500174,GLFL,Gujarat Lease Financing Ltd,Active,T ,10,INE540A01017,Other Financial Services,Equity,Financial Services,Financial Services
500179,HCL-INSYS,HCL Infosystems Ltd,Active,B ,2,INE236A01020,Computers Hardware & Equipments,Equity,Information Technology,Information Technology
500180,HDFCBANK,HDFC Bank Ltd,Active,A ,1,INE040A01034,Private Sector Bank,Equity,Financial Services,Financial Services
500182,HEROMOTOCO,Hero MotoCorp Ltd,Active,A ,2,INE158A01026,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components
500183,HFCL,HFCL Ltd,Active,A ,1,INE548A01028,Telecom - Infrastructure,Equity,Telecommunication,Telecommunication
500184,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1,INE019C01026,Carbon Black,Equity,Commodities,Chemicals
500185,HCC,Hindustan Construction Company Ltd,Active,A ,1,INE549A01026,Civil Construction,Equity,Industrials,Construction
500186,HINDOILEXP,Hindustan Oil Exploration Company Ltd,Active,A ,10,INE345A01011,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels"
500187,AGI,Agi Greenpac Ltd,Active,A ,2,INE415A01038,Packaging,Equity,Industrials,Capital Goods
500188,HINDZINC,Hindustan Zinc Ltd,Active,A ,2,INE267A01025,Zinc,Equity,Commodities,Metals & Mining
500189,NDLVENTURE,NDL Ventures Ltd,Active,T ,10,INE353A01023,Other Financial Services,Equity,Financial Services,Financial Services
500191,HMT,HMT Ltd,Active,Z ,10,INE262A01018,Industrial Products,Equity,Industrials,Capital Goods
500192,PRAGBOS,Prag Bosimi Synthetics Ltd,Active,X ,10,INE962B01011,Other Textile Products,Equity,Consumer Discretionary,Textiles
500193,HLVLTD,HLV Ltd,Active,B ,2,INE102A01024,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
500199,IGPL,IG Petrochemicals Ltd,Active,B ,10,INE204A01010,Commodity Chemicals,Equity,Commodities,Chemicals
500201,INDIAGLYCO,India Glycols Ltd,Active,B ,10,INE560A01015,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500202,INDLEASE,India Lease Development Ltd,Active,X ,10,INE333C01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services
500206,MARGOFIN,Margo Finance Ltd,Active,X ,10,INE680B01019,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services
500207,INDORAMA,Indo Rama Synthetics (India) Ltd,Active,B ,10,INE156A01020,Other Textile Products,Equity,Consumer Discretionary,Textiles
500209,INFY,Infosys Ltd,Active,A ,5,INE009A01021,Computers - Software & Consulting,Equity,Information Technology,Information Technology
500210,INGERRAND,Ingersoll-Rand (India) Ltd,Active,A ,10,INE177A01018,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods
500213,ITHL,International Travel House Ltd,Active,X ,10,INE262B01016,"Tour, Travel Related Services",Equity,Consumer Discretionary,Consumer Services
500214,IONEXCHANG,Ion Exchange India Ltd,Active,A ,1,INE570A01022,Water Supply & Management,Equity,Utilities,Utilities
500215,SUNDROP,Sundrop Brands Ltd,Active,B ,10,INE209A01019,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500219,JISLJALEQS,Jain Irrigation Systems Ltd,Active,A ,2,INE175A01038,Plastic Products - Industrial,Equity,Industrials,Capital Goods
500220,JASCH,Jasch Industries Ltd,Active,X ,10,INE711C01028,Other Textile Products,Equity,Consumer Discretionary,Textiles
500227,JINDALPOLY,Jindal Poly Films Ltd,Active,B ,10,INE197D01010,Packaging,Equity,Industrials,Capital Goods
500228,JSWSTEEL,JSW Steel Ltd,Active,A ,1,INE019A01038,Iron & Steel,Equity,Commodities,Metals & Mining
500231,UMANGDAIRY,Umang Dairies Ltd,Active,B ,5,INE864B01027,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500233,KAJARIACER,Kajaria Ceramics Ltd,Active,A ,1,INE217B01036,Ceramics,Equity,Consumer Discretionary,Consumer Durables
500234,KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,Active,B ,10,INE437B01014,Cement & Cement Products,Equity,Commodities,Construction Materials
500235,KSL,Kalyani Steels Ltd,Active,B ,5,INE907A01026,Iron & Steel Products,Equity,Industrials,Capital Goods
500238,WHIRLPOOL,Whirlpool of India Ltd,Active,A ,10,INE716A01013,Household Appliances,Equity,Consumer Discretionary,Consumer Durables
500239,KGDENIM,KG Denim Ltd,Active,X ,10,INE104A01012,Other Textile Products,Equity,Consumer Discretionary,Textiles
500240,KINETICENG,Kinetic Engineering Ltd,Active,X ,10,INE266B01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500241,KIRLOSBROS,Kirloskar Brothers Ltd,Active,A ,2,INE732A01036,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods
500243,KIRLOSIND,Kirloskar Industries Ltd,Active,B ,10,INE250A01039,Other Industrial Products,Equity,Industrials,Capital Goods
500245,KIRLFER,Kirloskar Ferrous Industries Ltd,Active,A ,5,INE884B01025,Pig Iron,Equity,Commodities,Metals & Mining
500246,ENVAIREL,Envair Electrodyne Ltd,Active,X ,10,INE601C01013,Industrial Products,Equity,Industrials,Capital Goods
500247,KOTAKBANK,Kotak Mahindra Bank Ltd,Active,A ,5,INE237A01028,Private Sector Bank,Equity,Financial Services,Financial Services
500248,KRIFILIND,Krishna Filament Industries Ltd,Active,XT,10,INE073A01019,Plastic Products - Industrial,Equity,Industrials,Capital Goods
500249,KSB,KSB Ltd,Active,A ,2,INE999A01023,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods
500250,LGBBROSLTD,LG Balakrishnan & Bros Ltd,Active,B ,10,INE337A01034,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500251,TRENT,Trent Ltd,Active,A ,1,INE849A01020,Speciality Retail,Equity,Consumer Discretionary,Consumer Services
500252,LMW,LMW Ltd,Active,A ,10,INE269B01029,Industrial Products,Equity,Industrials,Capital Goods
500253,LICHSGFIN,LIC Housing Finance Ltd,Active,A ,2,INE115A01026,Housing Finance Company,Equity,Financial Services,Financial Services
500257,LUPIN,Lupin Ltd,Active,A ,2,INE326A01037,Pharmaceuticals,Equity,Healthcare,Healthcare
500259,LYKALABS,Lyka Labs Ltd,Active,B ,10,INE933A01014,Pharmaceuticals,Equity,Healthcare,Healthcare
500260,RAMCOCEM,The Ramco Cements Ltd,Active,A ,1,INE331A01037,Cement & Cement Products,Equity,Commodities,Construction Materials
500262,HYBRIDFIN,Hybrid Financial Services Ltd,Active,B ,5,INE965B01022,Stockbroking & Allied,Equity,Financial Services,Financial Services
500264,MAFATIND,Mafatlal Industries Ltd,Active,B ,2,INE270B01035,Other Textile Products,Equity,Consumer Discretionary,Textiles
500265,MAHSEAMLES,Maharashtra Seamless Ltd,Active,A ,5,INE271B01025,Iron & Steel Products,Equity,Industrials,Capital Goods
500266,MAHSCOOTER,Maharashtra Scooters Ltd,Active,A ,10,INE288A01013,Investment Company,Equity,Financial Services,Financial Services
500267,MAJESAUT,Majestic Auto Ltd,Active,X ,10,INE201B01022,Diversified Commercial Services,Equity,Services,Services
500268,MANALIPETC,Manali Petrochemicals Ltd,Active,B ,5,INE201A01024,Petrochemicals,Equity,Commodities,Chemicals
500270,BARODARY,Baroda Rayon Corporation Ltd,Active,X ,10,INE461A01024,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
500271,MFSL,Max Financial Services Ltd,Active,A ,2,INE180A01020,Life Insurance,Equity,Financial Services,Financial Services
500277,MIDINDIA,Mid India Industries Ltd,Active,X ,10,INE401C01018,Other Textile Products,Equity,Consumer Discretionary,Textiles
500279,MIRCELECTR,Mirc Electronics Ltd,Active,T ,1,INE831A01028,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables
500280,CENTENKA,Century Enka Ltd,Active,B ,10,INE485A01015,Other Textile Products,Equity,Consumer Discretionary,Textiles
500282,MODTHREAD,Modern Thread India Ltd,Active,B ,10,INE794W01014,Other Textile Products,Equity,Consumer Discretionary,Textiles
500284,LORDSCHLO,Lords Chloro Alkali Ltd,Active,T ,10,INE846D01012,Commodity Chemicals,Equity,Commodities,Chemicals
500285,SPICEJET,Spicejet Ltd,Active,B ,10,INE285B01017,Airline,Equity,Services,Services
500288,MOREPENLAB,Morepen Laboratories Ltd,Active,A ,2,INE083A01026,Pharmaceuticals,Equity,Healthcare,Healthcare
500290,MRF,MRF Ltd,Active,A ,10,INE883A01011,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components
500292,HEIDELBERG,HeidelbergCement India Ltd,Active,B ,10,INE578A01017,Cement & Cement Products,Equity,Commodities,Construction Materials
500294,NCC,NCC Ltd,Active,A ,2,INE868B01028,Civil Construction,Equity,Industrials,Construction
500295,VEDL,Vedanta Ltd,Active,A ,1,INE205A01025,Diversified Metals,Equity,Commodities,Metals & Mining
500296,NAHARSPING,Nahar Spinning Mills Ltd,Active,B ,5,INE290A01027,Other Textile Products,Equity,Consumer Discretionary,Textiles
500298,NAPEROL,Naperol Investments Ltd,Active,X ,10,INE585A01020,Investment Company,Equity,Financial Services,Financial Services
500300,GRASIM,Grasim Industries Ltd,Active,A ,2,INE047A01021,Cement & Cement Products,Equity,Commodities,Construction Materials
500302,PEL,Piramal Enterprises Ltd,Active,A ,2,INE140A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services
500304,NIITLTD,NIIT Ltd,Active,B ,2,INE161A01038,Education,Equity,Consumer Discretionary,Consumer Services
500306,JAYKAY,Jaykay Enterprises Ltd,Active,B ,1,INE903A01025,Aerospace & Defense,Equity,Industrials,Capital Goods
500307,NIRLON,Nirlon Ltd,Active,B ,10,INE910A01012,Diversified Commercial Services,Equity,Services,Services
500312,ONGC,Oil and Natural Gas Corporation Ltd,Active,A ,5,INE213A01029,Oil Exploration & Production,Equity,Energy,"Oil, Gas & Consumable Fuels"
500313,OILCOUNTUB,Oil Country Tubular Ltd,Active,B ,10,INE591A01010,Oil Equipment & Services,Equity,Energy,"Oil, Gas & Consumable Fuels"
500314,ORIENTHOT,Oriental Hotels Ltd,Active,B ,1,INE750A01020,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
500317,OSWALAGRO,Oswal Agro Mills Ltd,Active,B ,10,INE142A01012,Trading & Distributors,Equity,Services,Services
500319,INDSUCR,Indian Sucrose Ltd,Active,X ,10,INE557C01017,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500322,PANCM,Panyam Cements & Mineral Industries Ltd,Active,X ,10,INE167E01037,Cement & Cement Products,Equity,Commodities,Construction Materials
500325,RELIANCE,Reliance Industries Ltd,Active,A ,10,INE002A01018,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels"
500327,PILITA,Pil Italica Lifestyle Ltd,Active,B ,1,INE600A01035,Plastic Products - Consumer,Equity,Consumer Discretionary,Consumer Durables
500330,RAYMOND,Raymond Ltd,Active,T ,10,INE301A01014,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
500331,PIDILITIND,Pidilite Industries Ltd,Active,A ,1,INE318A01026,Specialty Chemicals,Equity,Commodities,Chemicals
500333,PIXTRANS,Pix Transmissions Ltd,Active,B ,10,INE751B01018,Rubber,Equity,Industrials,Capital Goods
500335,BIRLACORPN,Birla Corporation Ltd,Active,A ,10,INE340A01012,Cement & Cement Products,Equity,Commodities,Construction Materials
500336,SURYAROSNI,Surya Roshni Ltd,Active,A ,5,INE335A01020,Iron & Steel Products,Equity,Industrials,Capital Goods
500337,PRIMESECU,Prime Securities Ltd,Active,B ,5,INE032B01021,Other Financial Services,Equity,Financial Services,Financial Services
500338,PRSMJOHNSN,Prism Johnson Ltd,Active,A ,10,INE010A01011,Cement & Cement Products,Equity,Commodities,Construction Materials
500339,RAIN,Rain Industries Ltd,Active,A ,2,INE855B01025,Petrochemicals,Equity,Commodities,Chemicals
500342,PRUDMOULI,Prudential Sugar Corporation Ltd,Active,T ,10,INE024D01016,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500343,AMJLAND,AMJ Land Holdings Ltd,Active,B ,2,INE606A01024,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
500346,PUNJCOMMU,Punjab Communications Ltd,Active,B ,10,INE609A01010,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication
500350,RSWM,RSWM Ltd,Active,B ,10,INE611A01016,Other Textile Products,Equity,Consumer Discretionary,Textiles
500354,RAJSREESUG,Rajshree Sugars & Chemicals Ltd,Active,B ,10,INE562B01019,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500355,RALLIS,Rallis India Ltd,Active,A ,1,INE613A01020,Pesticides & Agrochemicals,Equity,Commodities,Chemicals
500356,RAMANEWS,Shree Rama Newsprint Ltd,Active,T ,10,INE278B01020,Paper & Paper Products,Equity,Commodities,Forest Materials
500360,RAPICUT,Rapicut Carbides Ltd,Active,X ,10,INE350D01015,Industrial Products,Equity,Industrials,Capital Goods
500365,WELSPLSOL,Welspun Specialty Solutions Ltd,Active,B ,6,INE731F01037,Iron & Steel Products,Equity,Industrials,Capital Goods
500366,ROLTA,Rolta India Ltd,Active,Z ,10,INE293A01013,IT Enabled Services,Equity,Information Technology,Information Technology
500367,RUBFILA,Rubfila International Ltd,Active,B ,5,INE642C01025,Rubber,Equity,Industrials,Capital Goods
500368,PATANJALI,Patanjali Foods Ltd,Active,A ,2,INE619A01035,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500370,SALORAINTL,Salora International Ltd,Active,X ,10,INE924A01013,Trading & Distributors,Equity,Services,Services
500378,JINDALSAW,Jindal Saw Ltd,Active,A ,1,INE324A01032,Iron & Steel Products,Equity,Industrials,Capital Goods
500380,JKLAKSHMI,JK Lakshmi Cement Ltd,Active,A ,5,INE786A01032,Cement & Cement Products,Equity,Commodities,Construction Materials
500387,SHREECEM,Shree Cement Ltd,Active,A ,10,INE070A01015,Cement & Cement Products,Equity,Commodities,Construction Materials
500388,SKPMIL,Shree Krishna Paper Mills & Industries Ltd,Active,X ,10,INE970C01012,Paper & Paper Products,Equity,Commodities,Forest Materials
500389,SILVERLINE,Silverline Technologies Ltd,Active,XT,10,INE368A01021,Software Products,Equity,Information Technology,Information Technology
500390,RELINFRA,Reliance Infrastructure Ltd,Active,A ,10,INE036A01016,Integrated Power Utilities,Equity,Utilities,Power
500400,TATAPOWER,Tata Power Company Ltd,Active,A ,1,INE245A01021,Integrated Power Utilities,Equity,Utilities,Power
500402,SPMLINFRA,SPML Infra Ltd,Active,B ,2,INE937A01023,Civil Construction,Equity,Industrials,Construction
500403,SUNDRMFAST,Sundram Fasteners Ltd,Active,A ,1,INE387A01021,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500404,SUNFLAG,Sunflag Iron & Steel Company Ltd,Active,A ,10,INE947A01014,Iron & Steel Products,Equity,Industrials,Capital Goods
500405,SPLPETRO,Supreme Petrochem Ltd,Active,A ,2,INE663A01033,Petrochemicals,Equity,Commodities,Chemicals
500407,SWARAJENG,Swaraj Engines Ltd,Active,B ,10,INE277A01016,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods
500408,TATAELXSI,Tata Elxsi Ltd,Active,A ,10,INE670A01012,Computers - Software & Consulting,Equity,Information Technology,Information Technology
500410,ACC,ACC Ltd,Active,A ,10,INE012A01025,Cement & Cement Products,Equity,Commodities,Construction Materials
500411,THERMAX,Thermax Ltd,Active,A ,2,INE152A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods
500412,TIRUMALCHM,Thirumalai Chemicals Ltd,Active,A ,1,INE338A01024,Commodity Chemicals,Equity,Commodities,Chemicals
500413,THOMASCOOK,Thomas Cook (India) Ltd,Active,A ,1,INE332A01027,"Tour, Travel Related Services",Equity,Consumer Discretionary,Consumer Services
500414,TIMEX,Timex Group India Ltd,Active,B ,1,INE064A01026,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables
500418,TOKYOPLAST,Tokyo Plast International Ltd,Active,B ,10,INE932C01012,Plastic Products - Consumer,Equity,Consumer Discretionary,Consumer Durables
500420,TORNTPHARM,Torrent Pharmaceuticals Ltd,Active,A ,5,INE685A01028,Pharmaceuticals,Equity,Healthcare,Healthcare
500421,TPINDIA,TPI India Ltd,Active,X ,1,INE578C01021,Packaging,Equity,Industrials,Capital Goods
500422,TRANSCHEM,Transchem Ltd,Active,X ,10,INE019B01010,Pharmaceuticals,Equity,Healthcare,Healthcare
500425,AMBUJACEM,Ambuja Cements Ltd,Active,A ,2,INE079A01024,Cement & Cement Products,Equity,Commodities,Construction Materials
