Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name
532843,FORTIS,Fortis Healthcare Ltd,Active,A ,10,INE061F01013,Hospital,Equity,Healthcare,Healthcare
532845,TGBHOTELS,TGB Banquets and Hotels Ltd,Active,B ,10,INE797H01018,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
532847,HILTON,Hilton Metal Forging Ltd,Active,B ,10,INE788H01017,Castings & Forgings,Equity,Industrials,Capital Goods
532848,DELTACORP,Delta Corp Ltd,Active,A ,1,INE124G01033,Amusement Parks/ Other Recreation,Equity,Consumer Discretionary,Consumer Services
532850,MICEL,MIC Electronics Ltd,Active,B ,2,INE287C01037,Other Industrial Products,Equity,Industrials,Capital Goods
532851,INSECTICID,Insecticides (India) Ltd,Active,B ,10,INE070I01018,Pesticides & Agrochemicals,Equity,Commodities,Chemicals
532853,ASAHISONG,Asahi Songwon Colors Ltd,Active,B ,10,INE228I01012,Dyes And Pigments,Equity,Commodities,Chemicals
532855,HARYNACAP,Haryana Capfin Ltd,Active,XT,10,INE928H01019,Investment Company,Equity,Financial Services,Financial Services
532856,TIMETECHNO,Time Technoplast Ltd,Active,A ,1,INE508G01029,Plastic Products - Industrial,Equity,Industrials,Capital Goods
532859,HGS,Hinduja Global Solutions Ltd,Active,B ,10,INE170I01016,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Equity,Services,Services
532864,NELCAST,Nelcast Ltd,Active,B ,2,INE189I01024,Castings & Forgings,Equity,Industrials,Capital Goods
532867,V2RETAIL,V2 Retail Ltd,Active,T ,10,INE945H01013,Speciality Retail,Equity,Consumer Discretionary,Consumer Services
532868,DLF,DLF Ltd,Active,A ,2,INE271C01023,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
532869,TARMAT,Tarmat Ltd,Active,B ,10,INE924H01018,Civil Construction,Equity,Industrials,Construction
